,image_id,class_id,x_min,y_min,w,h
51,13,6,99.9,58.9,139.9,118.1
52,13,7,746.7,167.6,223.8,252.4
53,13,7,0.0,0.0,111.1,159.2
54,13,6,59.3,0.0,181.8,81.0
55,13,7,629.2,24.9,341.3,253.2
56,13,1,0.0,159.5,104.3,125.7
57,13,1,0.0,473.4,301.0,349.7
58,13,1,0.0,266.9,247.5,242.5
59,13,7,72.5,112.0,835.0,722.0
60,13,1,485.2,173.2,65.7,35.6
61,13,3,325.1,457.7,169.7,130.8
62,13,5,484.6,145.8,226.9,274.8
63,13,5,572.6,538.9,276.0,173.0
64,13,5,136.1,355.0,311.5,113.8
65,13,5,459.2,335.2,329.8,207.5
66,13,5,611.2,450.0,244.1,166.6
67,14,9,586.4,194.4,288.5,645.4
68,14,9,158.5,260.7,332.4,595.6
69,14,7,118.9,0.0,239.0,242.5
70,14,9,175.7,97.9,171.7,234.7
71,14,3,909.2,929.9,66.8,78.9
72,15,6,844.2,499.5,48.3,101.2
73,15,3,423.9,390.4,424.1,327.4
74,15,6,885.6,577.0,71.4,82.6
75,16,6,306.8,178.8,569.9,610.9
76,17,0,238.5,273.7,502.7,608.1
77,18,6,320.0,348.4,587.5,193.0
78,18,6,368.8,231.6,422.3,161.8
79,18,7,309.5,474.7,350.5,293.3
80,18,6,370.5,166.6,429.4,119.9
81,18,7,0.0,511.0,490.7,381.0
82,18,6,440.6,529.5,513.4,494.2
83,18,7,361.7,257.0,305.4,264.1
84,18,7,447.0,65.8,305.4,155.4
85,18,3,737.2,336.8,43.3,64.0
86,19,2,12.2,508.2,67.4,52.6
87,19,7,580.1,0.8,352.8,208.8
88,19,7,0.0,0.0,224.2,148.8
89,19,7,164.2,0.0,540.4,214.3
90,19,7,0.0,95.5,446.0,421.6
91,19,7,0.0,321.5,465.6,372.6
92,19,0,965.1,385.0,58.6,42.2
93,19,3,224.2,346.7,61.0,35.6
94,19,1,262.1,355.6,130.7,36.6
95,19,7,377.6,104.6,646.1,828.4
96,20,7,254.3,276.6,371.8,314.9
97,21,7,547.8,0.0,458.2,480.2
98,21,7,256.8,0.0,301.7,227.2
99,21,7,581.3,194.7,180.6,383.0
100,21,7,439.6,130.4,154.4,195.4
101,21,7,290.8,158.1,190.0,214.3
102,21,7,290.3,213.3,223.5,371.5
103,21,7,476.2,266.2,126.0,248.2
104,21,7,492.4,507.9,193.0,234.3
105,21,7,283.2,497.4,219.9,354.2
106,21,7,295.4,119.2,74.7,118.9
107,22,3,458.5,7.4,176.4,275.0
108,22,3,59.3,631.9,820.8,292.8
109,23,0,233.7,341.0,711.4,481.9
110,24,0,381.3,311.6,405.0,435.3
111,25,0,280.0,276.6,429.0,334.2
112,26,9,153.4,219.1,273.5,770.0
113,26,9,406.3,284.1,274.5,714.2
114,27,0,816.8,96.2,207.0,702.3
115,27,0,272.3,375.5,731.2,346.8
116,27,5,331.2,418.9,272.8,393.8
117,28,0,516.1,631.2,68.3,62.3
118,28,2,483.0,248.2,212.3,385.7
119,28,5,328.6,244.1,126.7,138.2
120,28,0,175.7,672.5,437.8,83.6
121,29,4,130.0,586.8,522.2,370.8
122,29,0,399.6,222.5,48.4,107.0
123,29,4,171.7,309.8,377.2,261.4
124,29,0,427.3,6.4,263.4,305.8
125,30,0,125.0,219.9,760.9,482.0
126,31,0,389.3,0.0,464.8,554.0
127,31,3,359.6,445.3,358.1,327.4
128,31,0,748.7,159.5,131.6,176.8
129,32,0,781.2,471.4,22.7,46.0
130,32,7,332.9,145.8,638.6,257.8
131,32,3,441.6,186.9,50.8,37.1
132,32,7,158.1,470.6,71.8,133.8
133,32,7,149.7,658.0,650.5,229.8
134,32,0,819.8,640.8,44.7,29.0
135,32,0,838.1,616.1,42.7,24.6
136,32,0,866.2,594.0,68.4,78.7
137,32,7,207.2,509.0,681.3,375.4
138,32,7,118.5,220.7,784.3,607.2
139,33,9,301.0,199.1,202.8,498.9
140,33,9,431.7,212.2,226.2,491.2
141,34,7,214.0,168.6,583.8,612.1
142,35,2,369.8,399.7,346.9,410.1
143,36,1,135.1,820.5,96.0,81.3
144,36,7,469.6,804.2,123.7,88.7
145,36,7,816.0,806.3,150.3,54.9
146,37,0,282.1,313.7,544.8,410.4
147,38,5,146.3,246.6,40.0,49.3
148,38,7,170.7,158.7,242.1,141.2
149,38,7,352.8,187.7,272.3,193.3
150,38,7,114.5,259.0,311.2,202.2
151,38,1,423.6,213.8,51.8,39.1
152,38,7,442.2,150.1,186.9,92.2
153,38,5,340.7,283.4,67.7,36.3
154,38,5,397.9,179.8,62.6,73.7
155,38,7,138.8,334.2,273.3,253.2
156,38,7,88.4,440.4,289.2,189.0
157,38,7,386.0,298.7,392.5,420.6
158,38,7,497.4,532.8,411.8,441.1
159,38,7,534.7,197.6,94.5,45.2
160,38,5,265.1,269.7,46.1,34.5
161,39,2,258.9,454.9,312.1,194.5
162,40,0,360.6,334.2,272.3,392.1
163,41,0,464.3,0.0,559.4,191.5
164,41,7,489.3,0.0,104.6,134.6
165,41,0,370.8,462.5,308.5,191.2
166,41,6,0.0,0.0,306.8,278.9
167,42,5,770.3,421.9,29.0,37.6
168,42,2,913.8,774.8,40.1,40.0
169,42,7,740.6,451.7,71.6,72.5
170,42,0,750.7,479.8,40.9,19.3
171,42,7,705.0,490.7,266.7,271.2
172,42,6,580.8,410.1,129.5,129.7
173,42,5,32.8,629.5,59.2,63.3
174,42,7,331.7,285.8,104.9,176.8
175,42,7,509.2,305.8,98.0,138.8
176,42,1,328.6,878.4,99.6,101.2
177,42,7,401.5,311.2,149.1,227.2
178,42,7,407.4,427.7,188.4,196.4
179,42,7,72.1,464.9,105.4,264.8
180,42,7,496.5,576.7,104.6,142.6
181,42,7,114.8,278.3,218.2,235.0
182,42,7,160.0,641.0,102.3,133.4
183,42,7,132.6,421.9,278.1,276.7
184,42,7,227.3,603.1,88.6,263.8
185,42,7,311.6,575.3,252.4,314.6
186,42,7,482.8,571.6,232.9,338.6
187,42,7,679.9,724.0,280.1,195.0
188,42,0,397.0,541.1,31.2,39.3
189,43,0,114.8,311.5,644.1,445.0
190,43,7,842.4,0.0,181.3,135.1
191,43,0,250.7,0.0,613.6,217.1
192,44,2,416.5,458.4,403.6,292.3
193,44,3,355.6,762.2,181.5,162.8
194,44,7,14.2,597.8,198.1,369.5
195,45,0,16.9,674.0,94.5,43.7
196,45,1,139.9,500.8,173.0,139.7
197,45,1,388.7,379.9,131.7,120.4
198,45,1,603.8,463.7,363.0,291.0
199,45,1,296.0,469.6,312.6,279.1
200,45,1,302.7,569.4,296.0,215.6
201,45,1,125.6,605.5,337.9,352.3
202,45,1,207.6,745.1,129.4,117.3
203,45,5,194.0,749.0,103.3,90.4
204,45,1,608.2,503.6,283.1,138.4
205,45,1,730.8,587.7,177.8,31.5
206,45,1,677.6,587.9,35.2,73.7
207,45,7,385.4,38.6,303.7,126.2
208,45,1,202.8,113.0,376.9,292.1
209,45,1,510.0,166.9,476.4,353.5
210,45,6,549.6,136.9,361.7,163.8
211,45,6,560.4,171.4,386.4,157.2
212,45,0,182.2,738.8,46.7,36.8
213,46,7,325.8,180.1,511.2,617.7
214,46,0,159.5,0.0,282.7,584.5
215,47,0,411.1,343.1,230.9,376.4
216,48,0,209.9,308.6,422.6,439.1
217,49,0,547.2,285.7,328.5,362.2
218,49,0,95.5,597.3,289.2,177.8
219,50,5,262.1,267.7,375.5,639.7
220,51,7,414.7,592.3,303.0,420.6
221,51,6,565.1,453.4,340.3,433.8
222,51,6,641.5,456.5,382.2,418.9
223,51,1,37.1,294.9,416.8,242.5
224,51,0,249.9,441.6,101.3,77.5
225,51,0,35.3,445.3,56.6,56.6
226,51,1,41.1,306.8,390.1,154.8
227,51,1,110.2,274.3,61.7,47.7
228,51,1,156.2,222.5,23.1,37.6
229,51,1,64.5,147.3,132.3,67.0
230,51,1,170.7,184.2,245.1,182.5
231,51,1,125.7,126.6,271.0,84.0
232,51,1,138.4,78.6,259.6,105.0
233,52,5,397.9,242.3,268.2,622.7
234,53,7,447.3,357.6,116.5,130.8
235,53,7,383.7,196.1,243.1,164.1
236,53,7,195.4,263.6,512.7,587.2
237,53,7,176.1,268.2,201.1,104.4
238,54,7,657.5,291.9,179.3,317.6
239,54,7,496.8,264.1,171.7,307.8
240,54,1,100.8,384.7,432.0,452.1
241,54,1,267.7,571.3,198.1,93.1
242,54,1,208.8,606.8,229.8,65.0
243,54,1,194.8,420.6,466.0,204.5
244,54,7,517.6,228.9,123.7,102.3
245,54,0,468.3,244.1,141.0,45.0
246,55,7,891.9,27.8,131.8,312.6
247,55,0,338.8,853.3,104.4,149.0
248,55,0,184.9,807.3,191.2,123.6
249,55,7,259.0,836.4,123.7,62.3
250,55,0,389.8,851.6,157.7,172.0
251,55,0,687.0,160.2,336.8,731.4
252,55,0,0.0,402.3,559.2,477.8
253,55,0,33.5,693.5,437.8,174.4
254,55,0,535.4,720.9,212.6,302.7
255,55,0,552.6,641.0,237.0,95.8
256,55,0,446.7,633.2,190.0,219.8
257,55,0,230.9,383.3,303.2,408.7
258,55,0,271.7,37.9,174.7,227.9
259,55,0,262.6,203.5,656.3,463.6
260,55,0,395.4,214.7,416.0,233.0
261,56,0,301.2,138.8,637.5,425.7
262,56,1,14.0,315.6,230.6,298.7
263,56,5,251.4,442.6,113.5,75.2
264,56,5,930.3,218.1,93.5,91.1
265,56,2,591.5,346.1,218.2,267.9
266,56,5,506.9,391.4,167.6,276.7
267,56,1,631.4,368.1,167.1,105.0
268,56,1,591.2,347.8,189.0,271.6
269,56,5,540.4,691.8,74.2,142.9
270,57,1,249.2,34.5,465.3,305.8
271,57,0,308.5,442.4,669.1,466.0
272,58,0,300.2,125.0,523.2,656.6
273,59,3,283.4,428.4,474.9,293.2
274,60,5,354.9,488.1,297.3,278.9
275,61,3,265.4,332.9,535.1,469.7
276,62,7,308.8,164.3,490.3,336.0
277,62,7,94.5,337.8,360.6,274.3
278,62,1,406.3,426.2,490.7,314.9
279,62,7,0.0,404.8,226.9,522.4
280,62,1,61.6,538.9,527.9,383.2
281,62,5,752.4,440.9,140.5,100.8
282,62,1,609.2,426.9,261.8,120.4
283,62,1,488.6,379.2,181.8,140.2
284,62,5,609.2,337.3,131.7,137.7
285,62,1,500.8,447.7,204.2,80.5
286,62,1,542.8,503.6,148.0,71.9
287,62,1,601.7,539.7,90.8,37.3
288,62,1,604.8,558.5,62.3,36.3
289,62,1,685.4,533.8,104.0,28.2
290,62,1,653.9,553.9,84.0,30.7
291,62,1,636.6,573.0,81.3,81.0
292,62,1,649.1,519.9,198.8,135.1
293,62,1,453.4,494.7,443.6,212.6
294,62,7,492.7,698.2,194.4,235.2
295,62,5,348.1,604.7,64.0,42.4
296,62,0,394.2,640.5,123.3,67.0
297,62,0,239.4,655.5,58.6,48.5
298,62,0,273.3,642.0,217.7,63.0
299,62,0,321.4,664.1,118.2,48.3
300,62,0,174.7,692.1,303.1,150.9
301,62,1,391.4,659.0,91.1,56.4
302,62,4,168.0,697.4,233.0,58.2
303,63,2,309.3,383.8,272.6,332.4
304,63,2,312.3,217.6,468.7,340.9
305,64,3,243.5,240.3,415.8,302.2
306,65,0,130.1,651.1,69.9,73.3
307,65,0,178.1,672.9,41.5,38.9
308,65,6,196.7,637.1,456.3,177.6
309,65,6,266.1,364.9,562.4,388.2
310,65,6,418.7,100.4,516.1,335.1
311,65,0,374.5,582.0,376.0,102.2
312,65,0,120.3,0.0,309.0,394.9
313,65,0,437.3,536.9,198.2,69.3
314,65,7,459.0,482.2,181.3,96.4
315,65,0,0.0,2.0,466.4,851.3
316,65,0,439.4,697.3,208.0,46.4
317,66,1,370.8,473.1,425.7,306.8
318,67,1,38.1,440.9,464.5,412.1
319,67,7,811.2,168.3,212.6,617.0
320,67,1,631.4,155.4,115.6,91.8
321,67,7,510.0,99.2,389.8,715.2
322,67,1,810.2,157.5,47.7,31.8
323,68,0,325.4,186.2,77.5,45.2
324,68,7,264.8,213.1,65.0,31.7
325,68,0,450.0,379.7,271.6,275.6
326,69,2,241.8,228.6,470.9,657.9
327,70,7,0.0,631.6,115.5,367.7
328,70,7,5.8,628.6,90.4,93.0
329,70,1,66.0,702.0,306.8,112.8
330,70,7,334.6,570.2,524.5,445.0
331,70,3,1.7,340.3,322.7,319.2
332,70,7,257.4,317.0,578.0,414.2
333,70,5,594.6,394.4,126.3,131.3
334,70,5,399.2,463.7,176.1,108.4
335,70,1,409.7,559.7,98.9,33.5
336,70,1,502.9,542.7,59.6,19.3
337,70,0,349.5,473.1,257.7,274.5
338,70,7,122.9,186.2,524.2,246.6
339,71,3,312.6,385.3,329.1,187.2
340,71,0,17.3,390.1,241.4,156.2
341,72,2,377.2,309.1,251.3,411.4
342,72,1,749.0,0.0,165.6,1023.7
343,73,7,831.4,165.5,192.3,365.2
344,73,7,219.7,312.3,492.1,544.1
345,74,7,728.4,0.0,295.4,628.1
346,74,1,619.2,114.5,143.0,256.3
347,74,1,433.0,68.7,416.5,608.5
348,74,7,0.0,0.0,397.7,386.7
349,74,1,55.6,221.1,655.5,675.6
350,74,5,379.2,464.9,197.8,116.5
351,74,5,679.6,889.6,41.9,134.1
352,75,2,380.3,384.0,375.5,377.9
353,76,7,172.2,236.7,732.4,512.3
354,76,0,343.4,528.9,100.3,149.3
355,77,1,381.3,640.8,326.4,326.6
356,77,1,210.3,538.7,510.6,410.2
357,77,1,259.0,400.3,425.7,335.2
358,77,1,224.5,228.6,357.9,341.1
359,77,1,243.8,177.8,304.1,277.1
360,77,1,578.4,434.3,79.6,131.8
361,77,1,568.2,449.0,69.8,109.0
362,77,1,592.9,539.2,51.8,86.3
363,78,6,159.2,248.1,565.8,421.3
364,78,1,518.8,0.0,504.9,956.2
365,79,0,70.4,132.8,929.5,772.6
366,80,5,164.7,241.4,411.0,470.7
367,81,7,334.5,354.2,320.3,444.6
368,82,5,234.3,651.9,789.3,371.8
369,82,5,506.2,734.2,484.2,186.7
370,82,0,24.0,183.4,999.6,649.9
371,83,7,614.6,390.3,258.4,248.1
372,83,6,287.8,526.0,364.7,249.4
373,83,6,331.2,540.4,276.7,127.2
374,83,7,99.6,203.9,687.1,369.8
375,84,0,298.9,438.5,462.0,464.3
376,85,1,627.8,301.7,337.9,385.5
377,85,1,376.6,529.0,409.1,263.6
378,85,0,554.0,286.0,106.0,252.2
379,85,0,441.9,253.0,131.0,296.1
380,85,0,356.9,493.7,141.2,89.9
381,85,5,139.9,321.0,255.3,605.7
382,86,1,473.8,356.0,261.0,314.2
383,87,5,320.7,299.9,285.5,479.5
384,88,1,794.9,357.9,228.8,246.5
385,88,7,716.7,533.3,135.6,158.5
386,88,7,673.0,360.0,152.1,207.2
387,88,7,603.4,486.9,126.7,214.7
388,88,6,419.3,607.8,212.3,177.8
389,88,7,595.3,362.7,102.6,154.4
390,88,1,435.6,463.9,178.0,221.5
391,88,1,428.4,277.3,200.9,269.5
392,88,1,464.5,317.0,143.5,56.6
393,88,1,461.7,208.6,132.8,134.4
394,88,1,116.1,112.4,345.7,394.2
395,88,0,311.6,645.8,219.2,295.3
396,88,7,0.0,695.9,137.1,327.8
397,88,1,40.4,509.0,295.6,451.0
398,88,1,0.0,357.2,320.8,248.9
399,88,1,142.2,410.1,91.4,47.1
400,89,1,39.1,162.9,499.6,627.8
401,89,1,173.0,354.9,221.5,319.0
402,89,1,455.1,221.1,539.4,646.4
403,89,0,455.9,192.0,538.9,645.4
404,89,0,451.3,513.4,242.5,325.8
405,90,3,169.1,249.9,548.8,729.4
406,91,5,700.5,534.9,290.6,277.6
407,91,5,62.4,123.9,592.2,738.7
408,92,8,220.7,394.3,509.9,122.1
409,92,8,226.5,578.3,524.7,119.0
410,93,5,268.2,225.0,554.7,507.4
411,93,0,298.3,739.8,70.1,199.9
412,93,5,229.6,608.8,496.8,207.5
413,94,7,284.2,407.4,523.4,413.5
414,95,1,0.0,142.7,841.1,881.0
415,96,1,182.3,600.7,841.4,422.9
416,96,1,309.8,444.3,466.8,316.6
417,96,1,328.4,313.2,569.7,424.0
418,96,1,333.5,329.5,559.5,378.6
419,96,1,342.6,371.1,427.7,295.3
420,96,1,358.9,274.3,534.1,306.8
421,96,1,358.6,198.4,487.4,253.6
422,97,7,94.5,466.3,129.5,241.1
423,97,7,216.1,425.7,56.4,106.7
424,97,7,376.6,416.5,83.8,137.8
425,97,7,256.8,215.7,194.8,228.2
426,97,7,191.2,406.3,288.3,470.3
427,97,1,571.7,393.5,29.0,64.7
428,97,7,431.7,453.1,208.3,416.2
429,97,0,666.9,324.4,75.2,38.3
430,97,1,592.8,309.2,199.6,406.7
431,97,1,638.0,365.7,254.7,396.5
432,98,7,919.0,130.8,93.5,56.9
433,98,0,507.3,28.2,339.6,343.1
434,98,2,127.7,643.0,310.2,218.9
435,99,0,257.5,485.2,372.6,242.1
436,100,3,341.3,264.8,442.4,455.4
437,101,7,195.4,274.8,592.3,432.0
438,101,5,336.3,588.4,125.6,101.8
439,102,7,285.6,97.2,345.8,624.6
440,103,1,943.7,284.4,80.0,246.4
441,103,1,1011.3,341.3,12.4,44.4
442,103,7,29.9,248.0,392.0,338.7
443,103,7,424.0,79.8,166.8,88.4
444,103,7,412.1,36.4,589.3,547.6
445,103,7,842.1,532.2,181.6,263.8
446,103,7,302.8,241.1,518.8,496.9
447,103,0,392.0,344.7,52.7,18.4
448,103,0,364.4,374.2,78.5,52.0
449,103,0,361.5,341.6,105.2,59.8
450,104,7,213.3,408.6,509.6,200.1
451,105,3,178.8,244.5,711.1,711.4
452,106,7,164.9,269.2,657.6,414.7
453,107,7,760.9,163.6,130.8,359.3
454,107,7,615.9,255.0,168.1,329.8
455,107,7,463.2,298.0,236.4,445.3
456,107,7,344.9,385.7,152.4,468.0
457,107,0,167.6,331.5,257.3,630.5
458,107,5,484.3,291.2,54.1,56.9
459,107,7,658.5,129.4,155.4,202.8
460,108,7,0.0,8.6,367.4,376.1
461,108,7,0.0,0.0,1023.7,1023.7
462,108,7,853.7,339.3,70.1,48.8
463,108,1,881.1,421.8,75.9,32.0
464,108,1,761.6,433.3,163.2,88.6
465,108,7,372.1,735.5,147.0,91.4
466,108,0,815.1,445.5,191.7,190.7
467,108,7,74.5,665.9,329.8,216.9
468,108,5,651.5,430.0,194.7,202.4
469,108,5,821.8,541.0,144.3,63.7
470,108,1,642.4,441.9,175.7,114.0
471,108,7,751.1,365.5,175.7,46.0
472,108,1,435.1,56.4,437.5,319.5
473,108,0,720.6,410.4,63.7,46.5
474,108,1,413.8,306.5,142.6,67.6
475,108,0,449.4,340.8,80.3,33.8
476,108,5,388.7,618.7,457.8,180.1
477,108,0,179.5,708.8,51.5,74.2
478,108,1,0.0,495.7,257.7,401.0
479,108,0,155.1,330.2,718.6,458.7
480,109,0,0.0,358.6,186.6,139.9
481,109,1,167.3,328.8,689.8,305.9
482,109,1,274.4,401.3,218.4,104.2
483,110,0,283.4,0.0,77.2,234.9
484,110,5,197.8,214.9,538.1,641.5
485,110,1,300.0,449.0,409.4,342.6
486,110,0,533.0,827.7,286.1,159.0
487,111,0,336.2,285.6,321.6,373.3
488,112,7,487.6,559.0,49.1,29.0
489,112,7,305.4,354.8,80.6,114.0
490,112,1,85.0,576.0,274.3,84.6
491,112,0,660.3,961.5,59.6,62.2
492,112,2,919.4,893.0,81.6,56.1
493,112,0,922.4,630.9,101.2,356.6
494,112,1,322.4,883.3,239.7,140.4
495,112,7,66.4,608.8,278.3,307.6
496,112,7,634.6,268.2,152.0,59.2
497,112,7,312.2,444.4,202.8,205.2
498,112,0,356.9,609.5,64.0,52.6
499,112,7,315.6,571.4,382.6,452.3
500,112,1,445.3,289.5,578.4,357.3
501,112,7,780.2,689.8,243.5,193.8
502,112,0,855.0,952.4,168.6,71.4
503,112,7,967.8,220.4,55.9,73.1
504,112,7,126.0,624.5,58.2,20.6
505,112,0,708.7,346.4,314.9,107.9
506,113,4,130.0,372.6,141.9,389.1
507,113,9,338.6,527.5,570.2,465.5
508,113,9,273.6,54.1,670.8,452.3
509,114,3,258.7,312.1,378.6,434.5
510,115,5,307.5,582.6,283.4,241.3
511,115,0,112.4,401.3,840.1,281.9
512,116,7,289.8,314.9,104.1,206.6
513,116,6,216.4,503.5,219.9,260.4
514,116,7,208.5,458.2,191.7,259.4
515,116,7,0.0,445.0,219.4,327.8
516,116,0,352.0,560.4,33.0,49.1
517,116,6,714.4,393.8,304.0,280.7
518,116,7,370.0,199.8,406.6,585.1
519,117,7,44.4,325.1,289.5,167.1
520,117,7,140.9,0.0,389.4,229.1
521,117,7,183.2,715.9,405.3,125.0
522,117,7,796.4,587.2,227.2,237.5
523,117,5,322.4,399.7,133.1,91.7
524,117,6,278.3,381.0,60.3,55.6
525,117,6,648.8,246.3,220.4,138.4
526,117,7,456.8,591.2,447.3,205.7
527,118,1,925.8,779.4,77.5,20.3
528,118,7,737.2,766.2,286.5,24.1
529,118,1,739.6,766.5,142.6,13.2
530,118,7,665.4,630.1,358.3,150.9
531,118,1,688.4,756.1,335.2,14.5
532,118,1,686.4,728.1,337.3,37.1
533,118,7,694.5,597.1,329.1,145.5
534,118,7,716.5,572.7,43.7,121.4
535,118,7,746.0,569.4,57.6,129.3
536,118,0,686.4,338.0,85.7,52.1
537,118,7,764.6,576.0,258.0,156.4
538,118,0,766.3,325.3,93.1,58.4
539,118,1,793.4,545.5,230.3,183.6
540,118,1,901.1,456.9,122.6,267.9
541,118,1,896.7,358.1,124.6,191.5
542,118,3,656.9,387.6,104.0,235.9
543,118,5,655.9,76.7,216.4,119.6
544,118,1,887.2,326.9,136.5,34.0
545,118,7,962.0,0.0,61.6,250.2
546,118,3,457.1,396.2,93.8,256.3
547,118,1,988.1,357.8,35.6,222.2
548,118,5,439.9,629.6,63.0,35.6
549,118,5,418.9,663.6,101.2,62.7
550,118,5,776.5,326.9,136.8,185.4
551,118,5,500.1,226.0,293.6,527.0
552,118,1,935.3,795.7,39.3,20.6
553,119,7,422.9,740.9,143.2,282.8
554,119,7,0.0,518.8,483.8,504.9
555,119,1,423.6,492.0,200.6,278.0
556,120,3,441.9,409.4,308.6,293.2
557,121,0,363.7,624.3,248.9,145.8
558,122,4,323.1,217.5,31.6,60.7
559,122,1,256.7,275.6,262.0,225.2
560,122,7,293.6,291.3,27.1,38.5
561,122,1,240.4,471.7,112.4,121.2
562,122,7,164.4,455.1,102.4,159.7
563,122,5,195.6,462.2,43.1,76.7
564,123,7,985.1,231.9,38.6,29.0
565,123,7,951.2,111.7,72.5,143.2
566,123,7,935.3,164.6,86.7,89.9
567,123,7,595.3,179.0,167.3,146.3
568,123,0,547.6,123.2,86.3,127.2
569,123,7,643.4,312.1,157.5,148.1
570,123,5,672.2,291.8,55.9,97.5
571,123,7,559.1,366.7,190.3,143.2
572,123,7,392.5,343.1,74.5,27.4
573,123,7,492.0,431.7,63.7,31.5
574,123,7,441.9,301.0,240.1,145.3
575,123,7,366.7,208.3,254.6,143.5
576,123,7,340.3,430.5,254.6,155.2
577,123,1,280.0,354.0,212.0,123.4
578,123,7,246.9,270.2,144.9,124.2
579,123,1,92.8,528.8,221.8,74.2
580,123,5,97.9,519.1,218.8,76.7
581,123,1,77.5,510.2,229.9,76.7
582,123,5,80.9,511.0,211.6,51.0
583,123,1,74.5,507.9,155.1,47.7
584,123,1,77.9,497.3,130.4,45.2
585,123,5,101.2,481.8,221.5,51.3
586,123,7,58.6,288.8,261.1,219.2
587,124,1,439.2,218.9,321.4,222.2
588,124,7,270.9,211.8,547.6,560.5
589,125,7,89.7,368.3,732.1,409.1
590,125,7,171.7,29.5,663.4,385.3
591,125,2,126.0,597.3,675.9,426.4
592,125,7,262.1,367.0,587.2,530.3
593,126,8,328.1,79.6,254.2,566.9
594,127,0,676.9,661.1,257.7,202.7
595,127,7,0.0,30.0,441.2,322.3
596,127,3,99.9,178.0,506.2,379.4
597,128,6,702.7,605.5,75.4,101.9
598,128,2,477.2,287.8,248.6,468.0
599,128,6,144.0,802.5,67.0,83.3
600,129,7,379.6,388.8,341.0,271.7
601,129,7,942.1,625.0,81.6,119.6
602,129,7,579.7,542.2,390.4,340.3
603,129,7,852.7,741.1,171.0,270.2
604,129,0,623.1,467.8,65.7,34.8
605,130,4,464.5,432.1,430.7,181.8
606,131,1,134.1,433.3,723.3,337.0
607,131,1,264.5,407.6,261.8,83.6
608,131,1,324.1,395.9,49.8,44.2
609,131,1,385.4,393.9,131.4,60.4
610,131,1,355.2,381.5,96.5,65.0
611,131,1,427.3,349.7,57.9,48.3
612,131,1,501.2,350.0,38.3,26.7
613,131,1,456.8,351.7,61.6,45.7
614,131,1,544.8,351.2,103.6,95.2
615,131,1,500.1,403.6,101.6,46.2
616,131,1,514.4,371.3,59.3,71.9
617,131,0,268.2,501.8,82.3,34.8
618,131,0,542.5,441.7,124.3,37.6
619,132,0,805.9,178.5,102.6,46.7
620,132,0,568.2,267.4,171.3,111.0
621,132,0,755.8,408.4,117.2,52.8
622,132,7,218.4,208.0,360.6,239.0
623,132,2,248.9,362.7,107.0,90.2
624,132,0,315.9,391.1,104.0,102.3
625,132,0,327.4,518.1,91.8,24.1
626,132,0,422.9,483.8,78.9,45.0
627,132,0,408.7,497.8,45.0,36.1
628,132,0,329.5,490.4,87.7,31.7
629,132,7,558.7,405.1,103.3,105.1
630,132,0,403.3,342.3,185.9,141.0
631,132,0,599.7,750.2,119.2,115.0
632,132,0,677.6,747.2,135.1,102.9
633,132,0,721.9,771.0,128.0,113.5
